Wordform	Lemma	POS	Gram
смогли	смочь	V	past,pl
пройти	пройти	V	inf
диспансеризацию	диспансеризация	S	f,acc,sg
,			
а	а	CONJ	
60	@card@		
миллионам	миллион	S	m,dat,pl
были	быть	V	past,pl
сделаны	сделать	V	partcp,pass,past,pl,nom,brev
прививки	прививка	S	f,gen,sg
.			
Оба	оба		
работают	работать	V	pres,3p,pl
на	на	PR	
влиятельную	влиятельный	A	sg,f,acc
и	и	CONJ	
известную	известный	A	sg,f,acc
адвокатскую	адвокатскую	A	sg,f,acc
контору	контора	S	f,acc,sg
«			
Bullie	Bullie		
Brake			
&			
Desmay	Desmay	S	m,nom,sg
»			
и	и	CONJ	
успешно	успешно	ADV	
продвигаются	продвигаться	V	pres,3p,pl
по	по	PR	
служебной	служебный	A	sg,f,dat
лестнице	лестница	S	f,dat,sg
.			
Некоторые	некоторые	A	pl,m,nom
люди	человек	S	m,nom,pl
испытывают	испытывать	V	pres,3p,pl
панические	панический	A	pl,m,acc
атаки	атака	S	f,acc,pl
,			
которые	который	APRO	nom,pl
характеризуются	характеризоваться	V	pres,3p,pl
чрезвычайно	чрезвычайно	ADV	
сильным	сильный	A	sg,m,ins
чувством	чувство	S	n,ins,sg
страха	страх	S	m,gen,sg
.			
Они	они	SPRO	3p,nom,pl
отнюдь	отнюдь	ADV	
не	не	PART	
редки	редкий	A	pl,brev
.			
К	к	PR	
третьей	третий	ANUM	f,sg
неделе	неделя	S	f,loc,sg
пациенты	пациент	S	m,nom,pl
показывали	показывать	V	past,pl
заметное	заметный	A	sg,n,acc
улучшение	улучшение	S	n,acc,sg
настроения	настроение	S	n,gen,sg
в	в	PR	
отличие	отличие	S	n,acc,sg
от	от	PR	
принимавших	принимать	V	partcp,act,past,pl,gen
плацебо	плацебо	S	n,acc,sg
.			
Высокий	высокий	A	sg,m,nom
уровень	уровень	S	m,nom,sg
эстрогена	эстроген	S	m,gen,sg
и	и	CONJ	
низкий	низкий	A	sg,m,acc
прогестерона	прогестерон	S	m,gen,sg
могут	мочь	V	pres,3p,pl
привести	привести	V	inf
к	к	PR	
предменструальному	предменструальному	A	sg,m,dat
синдрому	синдром	S	m,dat,sg
(			
ПМС	ПМС	S	m,dat,sg
)			
с	с	PR	
цикличной	цикличной	A	sg,f,ins
депрессией	депрессия	S	f,ins,sg
и	и	CONJ	
беспокойством	беспокойство	S	n,ins,sg
.			
Иногда	иногда	ADV	
колебания	колебание	S	n,nom,pl
настроения	настроение	S	n,nom,pl
и	и	CONJ	
депрессия	депрессия	S	f,nom,sg
могут	мочь	V	pres,3p,pl
быть	быть	V	inf
результатом	результат	S	m,ins,sg
слишком	слишком	ADV	
большого	большой	A	sg,m,gen
стресса	стресс	S	m,gen,sg
и	и	CONJ	
истощения	истощение	S	n,gen,sg
надпочечников	надпочечник	S	m,gen,pl
.			
Первое	первый	ANUM	n,sg
описание	описание	S	n,nom,sg
этого	это	SPRO	n,gen,sg
члена	член	S	m,gen,sg
семейства	семейство	S	n,gen,sg
перечных	перечных	A	pl,m,gen
появилось	появиться	V	past,n,sg
в	в	PR	
западных	западный	A	pl,m,loc
странах	страна	S	f,loc,pl
после	после	PR	
знаменитых	знаменитый	A	pl,m,gen
рейдов	рейд	S	m,gen,pl
капитана	капитан	S	m,gen,sg
Джеймса	Джеймс	S	m,gen,sg
Кука	Кук	S	m,gen,sg
в	в	PR	
Южные	южный	A	pl,m,acc
моря	море	S	n,acc,pl
.			
Согласно	согласно	PR	
данным	данные	S	m,dat,pl
Национального	национальный	A	sg,m,gen
аутистического	аутистического	S	m,gen,sg
общества	общество	S	n,gen,sg
частота	частота	S	f,nom,sg
аутизма	аутизма	S	m,gen,sg
сейчас	сейчас	ADVPRO	
может	мочь	V	pres,3p,sg
превышать	превышать	V	inf
1	1		
случай	случай	S	m,nom,sg
на	на	PR	
каждые	каждый	APRO	acc,pl
100	@card@		
детей	дитя	S	n,gen,pl
.			
Конечная	конечный	A	sg,f,nom
цель	цель	S	f,nom,sg
математики	математика	S	f,gen,sg
—			
вообще	вообще	ADV	
избавиться	избавиться	V	inf
от	от	PR	
необходимости	необходимость	S	f,gen,sg
о	о	PR	
чем-либо	что-либо	SPRO	n,loc,sg
думать	думать	V	inf
.			
В	в	PR	
том-то	то-то	SPRO	n,loc,sg
и	и	CONJ	
дело	дело	S	n,nom,sg
,			
что	что	CONJ	
,			
кроме	кроме	PR	
действительных	действительный	A	pl,m,gen
чисел	число	S	n,gen,pl
,			
достаточно	достаточно	ADV	
изобрести	изобрести	V	inf
только	только	PART	
одно	один	ANUM	n
число	число	S	n,nom,sg
—			
квадратный	квадратный	A	sg,m,nom
корень	корень	S	m,nom,sg
из	из	PR	
—			
1	1		
,			
после	после	PR	
этого	это	SPRO	n,gen,sg
можно	можно	ADV	
решить	решить	V	inf
любое	любой	APRO	n,acc,sg
алгебраическое	алгебраический	A	sg,n,acc
уравнение	уравнение	S	n,acc,sg
]			
Возможные	возможный	A	pl,m,nom
состояния	состояние	S	n,nom,pl
электронов	электрон	S	m,gen,pl
определяются	определяться	V	pres,3p,pl
различными	различный	A	pl,m,ins
энергетическими	энергетический	A	pl,m,ins
подуровнями	подуровнями	S	f,ins,pl
,			
которые	который	APRO	nom,pl
носят	носить	V	pres,3p,pl
название	название	S	n,acc,sg
орбиталей	орбиталей	S	m,gen,pl
.			
Указанный	указать	V	partcp,pass,past,sg,m,nom
выше	высокий	A	sg,m,nom,comp
вызов	вызов	S	m,acc,sg
функции	функция	S	f,gen,sg
вернет	вернуть	V	fut,3p,sg
все	все	ADV	
SNMP	SNMP		
объекты	объект	S	m,acc,pl
из	из	PR	
SNMP	SNMP		
агента	агент	S	m,gen,sg
,			
напущенного	напущенного	V	partcp,pass,past,sg,m,gen
на	на	PR	
локальном	локальный	A	sg,m,loc
хосте	хосте	S	m,loc,sg
.			
Эта	этот	APRO	f,nom,sg
группа	группа	S	f,nom,sg
включает	включать	V	pres,3p,sg
щелочные	щелочной	A	pl,m,acc
металлы	металл	S	m,acc,pl
натрий	натрий	S	m,nom,sg
(			
Na			
)			
и	и	CONJ	
калий	калий	S	m,nom,sg
(			
К			
)			
,			
щелочноземельные	щелочноземельные	A	pl,m,nom
металлы	металл	S	m,nom,pl
магний	магний	S	m,nom,sg
(			
Мg	Мg	S	m,nom,sg
)			
и	и	CONJ	
кальций	кальций	S	m,nom,sg
(			
Са	Са	V	past,m,sg
)			
.			
