Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
перечных	перечный	A	gen,pl
появилось	появиться	V	n,past,sg
в	в	PR	
западных	западный	A	loc,pl
странах	страна	S	f,loc,pl
после	после	PR	
знаменитых	знаменитый	A	gen,pl
рейдов	рейд	S	gen,m,pl
капитана	капитан	S	gen,m,sg
Джеймса	Джеймс	S	gen,m,sg
Кука	Кук	S	gen,m,sg
в	в	PR	
Южные	южный	A	acc,pl
моря	море	S	acc,n,pl
.			
Согласно	согласно	PR	
данным	данные	S	dat,pl
Национального	национальный	A	gen,n,sg
аутистического	аутистический	A	gen,n,sg
общества	общество	S	gen,n,sg
частота	частота	S	f,nom,sg
аутизма	аутизм	S	gen,m,sg
сейчас	сейчас	ADV	
может	мочь	V	3p,pres,sg
превышать	превышать	V	inf
1			
случай	случай	S	acc,m,sg
на	на	PR	
каждые	каждый	APRO	acc,pl
100			
детей	ребенок	S	gen,m,pl
.			
Конечная	конечный	A	f,nom,sg
цель	цель	S	f,nom,sg
математики	математика	S	f,gen,sg
—			
вообще	вообще	ADV	
избавиться	избавиться	V	inf
от	от	PR	
необходимости	необходимость	S	f,gen,sg
о	о	PR	
чем-либо	что-либо	SPRO	loc,n
думать	думать	V	inf
.			
В	в	PR	
том-то	то-то	SPRO	loc,n,sg
и	и	CONJ	
дело	дело	S	n,nom,sg
,			
что	что	CONJ	
,			
кроме	кроме	PR	
действительных	действительный	A	gen,pl
чисел	число	S	gen,n,pl
,			
достаточно	достаточно	ADV	
изобрести	изобрести	V	inf
только	только	ADV	
одно	один	ANUM	acc,n,sg
число	число	S	acc,n,sg
—			
квадратный	квадратный	A	acc,m,sg
корень	корень	S	acc,m,sg
из	из	PR	
—1			
,			
после	после	PR	
этого	это	SPRO	gen,n,sg
можно	можно	ADV	
решить	решить	V	inf
любое	любой	APRO	acc,n,sg
алгебраическое	алгебраический	A	acc,n,sg
уравнение	уравнение	S	acc,n,sg
]			
Возможные	возможный	A	nom,pl
состояния	состояние	S	n,nom,pl
электронов	электрон	S	gen,m,pl
определяются	определять	V	3p,pl,pres
различными	различный	A	ins,pl
энергетическими	энергетический	A	ins,pl
подуровнями	подуровень	S	ins,m,pl
,			
которые	который	APRO	nom,pl
носят	носить	V	3p,pl,pres
название	название	S	acc,n,sg
орбиталей	орбиталь	S	f,gen,pl
.			
Указанный	указать	V	m,nom,partcp,pass,past,sg
выше	высоко	ADV	comp
вызов	вызов	S	m,nom,sg
функции	функция	S	f,gen,sg
вернет	вернуть	V	3p,pres,sg
все	весь	APRO	acc,pl
SNMP			
объекты	объект	S	acc,m,pl
из	из	PR	
SNMP			
агента	агент	S	gen,m,sg
,			
напущенного	напустить	V	gen,m,partcp,pass,past,sg
на	на	PR	
локальном	локальный	A	loc,m,sg
хосте	хост	S	loc,m,sg
.			
Эта	этот	APRO	f,nom,sg
группа	группа	S	f,nom,sg
включает	включать	V	3p,pres,sg
щелочные	щелочной	A	acc,pl
металлы	металл	S	acc,m,pl
натрий	натрий	S	acc,m,sg
(			
Na			
)			
и	и	CONJ	
калий	калий	S	acc,m,sg
(			
К			
),			
щелочноземельные	щелочноземельный	A	acc,pl
металлы	металл	S	acc,m,pl
магний	магний	S	acc,m,sg
(			
Мg			
)			
и	и	CONJ	
кальций	кальций	S	acc,m,sg
(			
Са			
)			
.			
